Konto;Unterkonto;Nettobetrag
1000;19;-550131,33 
1020;19;-29569,65 
1030;19;32444,84 
1100;19;57472,18 
1200;19;3800,00 
1300;19;132,78 
1320;19;68875,79 
1350;19;48135,16 
1360;19;280,66 
1410;19;9763,65 
1600;19;6342,30 
1950;19;402,12 
1991;19;-48161,70 
2050;19;13019,27 
2051;19;-14002,42 
2091;19;380649,29 
2150;19;19170,22 
2161;19;-3800,00 
2170;19;300323,96 
2190;19;-77042,55 
2220;19;27197,72 
3011;19;-67027,40 
3012;19;-338801,73 
3021;19;-152240,42 
3022;19;-3200,00 
3031;19;-157230,76 
3033;19;-351661,49 
3034;19;-25455,88 
3035;19;-70451,72 
3037;19;-72355,00 
3061;19;-4711,00 
3081;19;-27328,15 
3098;19;-97,00 
4011;19;43129,65 
4012;19;327401,57 
4021;19;205663,44 
4024;19;3915,57 
4030;19;35405,89 
4031;19;77685,70 
4033;19;211019,14 
4034;19;18060,85 
4035;19;55382,45 
4037;19;13626,53 
4039;19;352,85 
4061;19;4564,91 
4070;19;33963,86 
6015;19;1567,43 
6017;19;525,00 
6018;19;1981,46 
6022;19;3452,89
6023;19;1067,30 
6030;19;25891,68 
6040;19;1000,69 
6050;19;3476,08 
6070;19;3946,21 
6071;19;15531,79 
6080;19;1493,97 
6090;19;115,35 
6100;19;7775,02 
6101;19;562,85 
6110;19;38794,61
6120;19;15069,97 
6150;19;-166665,89 
6170;19;10,14 
8042;19;1438,99 
8043;19;410,46 
8051;19;150,00 
8056;19;350,00 
8060;19;8828,03 
8070;19;13484,91 
8071;19;3214,26 
8072;19;2147,14 
8080;19;8032,45 
8100;19;3730,00 
8110;19;3460,77 
8120;19;5384,85 
8130;19;8923,87 
8140;19;4025,90 
9050;19;-112,35 
9057;19;-23979,98 
